"avg_punt_global","cole_cod_mcpio_ubicacion","cole_mcpio_ubicacion","max_punt_global","min_punt_global"
"275.1538461538461538","15808","TINJACA","354","178"
"279.9259259259259259","15162","CERINZA","347","198"
"253.4200000000000000","15638","SACHICA","338","170"
"257.1111111111111111","15723","SATIVASUR","331","207"
"234.2480000000000000","15507","OTANCHE","322","160"
"253.4594594594594595","15522","PANQUEBA","340","192"
"265.2777777777777778","15755","SOCOTA","372","202"
"281.1418439716312057","15693","SANTA ROSA DE VITERBO","377","165"
"251.7555555555555556","15761","SOMONDOCO","339","194"
"272.5507246376811594","15764","SORACA","350","200"
"238.5263157894736842","15223","CUBARA","334","167"
"276.9318181818181818","15798","TENZA","360","156"
"259.2500000000000000","15401","LA VICTORIA","298","220"
"240.2166666666666667","15183","CHITA","403","140"
"249.5606060606060606","15109","BUENAVISTA","358","156"
"260.9577464788732394","15224","CUCAITA","355","185"
"262.8969432314410480","15176","CHIQUINQUIRA","369","150"
"246.5337423312883436","15632","SABOYA","388","149"
"245.4166666666666667","15531","PAUNA","330","167"
"246.3837209302325581","15681","SAN PABLO DE BORBUR","351","165"
"270.7666666666666667","15837","TUTA","361","191"
"248.8571428571428571","15022","ALMEIDA","323","181"
"254.8888888888888889","15317","GUACAMAYAS","322","207"
"257.3333333333333333","15218","COVARACHIA","313","195"
"281.7331932773109244","15759","SOGAMOSO","411","166"
"268.4842105263157895","15097","BOAVITA","409","170"
"242.0588235294117647","15839","TUTASA","323","171"
"284.0512820512820513","15403","LA UVITA","340","200"
"246.9565217391304348","15212","COPER","365","174"
"258.2727272727272727","15104","BOYACA","349","180"
"252.2000000000000000","15464","MONGUA","324","192"
"271.4210526315789474","15187","CHIVATA","333","211"
"253.2463768115942029","15790","TASCO","327","163"
"267.8482142857142857","15804","TIBANA","367","175"
"271.5765306122448980","15407","VILLA DE LEYVA","377","150"
"251.6363636363636364","15550","PISVA","294","209"
"233.4594594594594595","15368","JERICO","330","175"
"244.8260869565217391","15480","MUZO","327","157"
"246.6181818181818182","15476","MOTAVITA","333","162"
"280.5500000000000000","15090","BERBEO","330","235"
"272.5600000000000000","15215","CORRALES","339","210"
"260.2127659574468085","15820","TOPAGA","338","158"
"256.0312500000000000","15762","SORA","339","178"
"274.1376811594202899","15806","TIBASOSA","343","195"
"242.8260869565217391","15092","BETEITIVA","321","184"
"242.5593525179856115","15572","PUERTO BOYACA","370","143"
"244.0000000000000000","15114","BUSBANZA","284","204"
"258.9090909090909091","15763","SOTAQUIRA","383","172"
"260.7931034482758621","15244","EL COCUY","350","186"
"257.2162162162162162","15172","CHINAVITA","340","162"
"250.7547169811320755","15842","UMBITA","333","159"
"271.9772727272727273","15276","FLORESTA","353","175"
"269.8510638297872340","15514","PAEZ","351","202"
"248.8307692307692308","15580","QUIPAMA","320","163"
"285.9884769539078156","15238","DUITAMA","427","150"
"283.8045525902668760","15001","TUNJA","435","147"
"260.8297872340425532","15816","TOGUI","347","186"
"259.8333333333333333","15325","GUAYATA","337","177"
"250.9285714285714286","15778","SUTATENZA","375","188"
"250.2166666666666667","15542","PESCA","322","186"
"251.5037037037037037","15740","SIACHOQUE","330","181"
"254.5050505050505051","15757","SOCHA","354","176"
"262.5316455696202532","15599","RAMIRIQUI","358","155"
"273.1428571428571429","15879","VIRACACHA","355","200"
"244.9166666666666667","15425","MACANAL","353","180"
"223.4000000000000000","15832","TUNUNGUA","351","173"
"240.0909090909090909","15232","CHIQUIZA","312","170"
"279.5384615384615385","15204","COMBITA","420","170"
"260.0526315789473684","15296","GAMEZA","367","168"
"248.0000000000000000","15664","SAN JOSE DE PARE","317","202"
"266.6960000000000000","15087","BELEN","356","150"
"250.4736842105263158","15332","GUICAN","328","186"
"258.3231707317073171","15047","AQUITANIA","357","189"
"253.2647058823529412","15500","OICATA","337","179"
"276.5000000000000000","15106","BRICEÃ‘O","358","219"
"237.5945945945945946","15236","CHIVOR","324","167"
"272.0000000000000000","15226","CUITIVA","339","209"
"237.6333333333333333","15518","PAJARITO","335","163"
"242.4800000000000000","15185","CHITARAQUE","327","163"
"253.0814814814814815","15814","TOCA","397","168"
"245.3084112149532710","15686","SANTANA","333","184"
"258.0363636363636364","15537","PAZ DE RIO","345","165"
"261.0000000000000000","15646","SAMACA","387","167"
"263.2424242424242424","15322","GUATEQUE","362","175"
"248.6896551724137931","15377","LABRANZAGRANDE","326","182"
"259.2121212121212121","15667","SAN LUIS DE GACENO","330","180"
"232.3090909090909091","15293","GACHANTIVA","350","166"
"248.0459770114942529","15442","MARIPI","354","175"
"287.6875000000000000","15491","NOBSA","412","182"
"260.2600000000000000","15131","CALDAS","329","189"
"246.6122448979591837","15676","SAN MIGUEL DE SEMA","327","176"
"257.6000000000000000","15897","ZETAQUIRA","328","181"
"253.6086956521739130","15673","SAN MATEO","341","174"
"251.8260869565217391","15466","MONGUI","333","167"
"252.8888888888888889","15621","RONDON","339","179"
"251.8105263157894737","15494","NUEVO COLON","330","173"
"270.7840909090909091","15051","ARCABUCO","377","174"
"271.4800000000000000","15774","SUSACON","370","177"
"257.7000000000000000","15720","SATIVANORTE","328","192"
"245.3947368421052632","15696","SANTA SOFIA","351","178"
"268.9589041095890411","15367","JENESANO","372","201"
"232.2608695652173913","15180","CHISCAS","332","157"
"236.8181818181818182","15533","PAYA","307","162"
"269.2857142857142857","15455","MIRAFLORES","368","170"
"279.4285714285714286","15511","PACHAVITA","301","227"
"240.2222222222222222","15822","TOTA","318","176"
"257.8200000000000000","15600","RAQUIRA","344","189"
"266.5428571428571429","15380","LA CAPILLA","354","183"
"252.8333333333333333","15776","SUTAMARCHAN","341","174"
"258.2068965517241379","15135","CAMPOHERMOSO","328","185"
"249.6862745098039216","15810","TIPACOQUE","325","179"
"260.4925373134328358","15189","CIENEGA","362","183"
"268.6176470588235294","15660","SAN EDUARDO","386","177"
"251.5135135135135135","15248","EL ESPINO","311","188"
"263.0609756097560976","15272","FIRAVITOBA","332","188"
"284.4632034632034632","15516","PAIPA","408","167"
"275.6745562130177515","15753","SOATA","355","170"
"258.6255319148936170","15861","VENTAQUEMADA","362","166"
"264.4342105263157895","15299","GARAGOA","375","172"
"254.7607843137254902","15469","MONIQUIRA","366","153"
"255.8888888888888889","15362","IZA","296","228"
"251.8363636363636364","15690","SANTA MARIA","374","162"
"265.3093525179856115","15835","TURMEQUE","377","163"
